Mid,Date,Depth,Temperature,Salinity,VC,Location,
22,22/06/2010,1,18.2,11.6,VC1098,Jericho_summer,Summer
23,29/07/2010,16,13.8,27.7,VC1118,SOG_2,2
23,29/07/2010,14,14.7,27.4,VC1118,SOG_2,2
23,29/07/2010,12,15.5,27.1,VC1118,SOG_2,2
23,29/07/2010,10,15.7,27,VC1118,SOG_2,2
23,29/07/2010,8,15.8,26.9,VC1118,SOG_2,2
23,29/07/2010,6,16.3,26.6,VC1118,SOG_2,2
23,29/07/2010,4,17.7,26.4,VC1118,SOG_2,2
23,29/07/2010,2,17.7,26.4,VC1118,SOG_2,2
24,29/07/2010,16,11.9,28.3,VC1117,SOG_1,1
24,29/07/2010,14,13.4,27.5,VC1117,SOG_1,1
24,29/07/2010,12,14.4,27.1,VC1117,SOG_1,1
24,29/07/2010,10,15,26.8,VC1117,SOG_1,1
24,29/07/2010,8,15.1,26.7,VC1117,SOG_1,1
24,29/07/2010,6,16.2,26.1,VC1117,SOG_1,1
24,29/07/2010,6,16.2,26.1,VC1117,SOG_1,1
24,29/07/2010,4,16.5,25.9,VC1117,SOG_1,1
24,29/07/2010,2,16.9,25.8,VC1117,SOG_1,1
25,12/10/2010,1,12.7,22.7,VC1160,Jericho_Fall,Fall
26,29/07/2010,16,10.8,28.7,VC1120,SOG_4,4
26,29/07/2010,14,11.2,28.5,VC1120,SOG_4,4
26,29/07/2010,12,11.4,28.5,VC1120,SOG_4,4
26,29/07/2010,10,12,28.1,VC1120,SOG_4,4
26,29/07/2010,8,12.6,27.9,VC1120,SOG_4,4
26,29/07/2010,6,12.9,27.8,VC1120,SOG_4,4
26,29/07/2010,4,13.6,27.6,VC1120,SOG_4,4
26,29/07/2010,2,14.7,26.9,VC1120,SOG_4,4
